record_id,training_name,training_category,taken_date,hours,cost_jpy,completion_status,emp_id,last_name,gender,age,dept,job_title,grade,hire_date,termination_date,termination_reason,latest_rating,total_promotions,ever_promoted,review_count
TR000030,ロジカルシンキング,ビジネススキル,2025-10-07,16,60000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000031,ビジネスマナー eラーニング,eラーニング,2026-03-04,4,10000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000032,タイムマネジメント eラーニング,eラーニング,2026-03-29,4,12000,途中離脱,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000033,Excel スキルアップ eラーニング,eラーニング,2025-06-07,6,15000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000034,ハラスメント防止 eラーニング,eラーニング,2024-12-02,2,8000,途中離脱,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000035,情報セキュリティ基礎 eラーニング,eラーニング,2025-07-22,3,10000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000036,独占禁止法 (年次),コンプライアンス,2025-06-19,2,5000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000037,個人情報保護 (年次),コンプライアンス,2025-03-29,2,5000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000038,インサイダー取引 (年次),コンプライアンス,2025-07-08,2,5000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000039,英語ビジネス会話,ビジネススキル,2024-06-21,48,180000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000040,プレゼンテーション実践,ビジネススキル,2025-04-01,8,40000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000041,ロジカルシンキング,ビジネススキル,2025-04-25,16,60000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000042,ハラスメント防止 eラーニング,eラーニング,2024-11-20,2,8000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000043,タイムマネジメント eラーニング,eラーニング,2025-06-28,4,12000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000044,情報セキュリティ基礎 eラーニング,eラーニング,2025-02-10,3,10000,途中離脱,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000045,Excel スキルアップ eラーニング,eラーニング,2026-03-30,6,15000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000046,個人情報保護 (年次),コンプライアンス,2024-04-15,2,5000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000047,インサイダー取引 (年次),コンプライアンス,2024-10-19,2,5000,完了,E000004,林,男,31,Sales,Staff,1,2018-05-28,,,3.0,0.0,False,4.0
TR000048,セキュリティエンジニアリング,テクニカル,2024-11-15,24,140000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000049,ロジカルシンキング,ビジネススキル,2025-03-03,16,60000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000050,ビジネスライティング,ビジネススキル,2024-04-28,8,35000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000051,ビジネスマナー eラーニング,eラーニング,2025-03-31,4,10000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000052,ハラスメント防止 eラーニング,eラーニング,2024-10-20,2,8000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000053,情報セキュリティ基礎 eラーニング,eラーニング,2025-07-13,3,10000,未着手,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000054,メンタルヘルス eラーニング,eラーニング,2025-07-18,2,8000,途中離脱,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000055,ハラスメント防止 eラーニング,eラーニング,2025-11-17,2,8000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000056,インサイダー取引 (年次),コンプライアンス,2024-11-06,2,5000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000057,個人情報保護 (年次),コンプライアンス,2024-12-11,2,5000,途中離脱,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000058,個人情報保護 (年次),コンプライアンス,2024-11-27,2,5000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000059,個人情報保護 (年次),コンプライアンス,2024-06-02,2,5000,完了,E000005,林,女,32,Consulting,Staff,1,2017-10-10,,,3.0,0.0,False,4.0
TR000060,ロジカルシンキング,ビジネススキル,2024-10-19,16,60000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000061,ロジカルシンキング,ビジネススキル,2025-05-30,16,60000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000062,ロジカルシンキング,ビジネススキル,2025-05-20,16,60000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000063,英語ビジネス会話,ビジネススキル,2024-10-20,48,180000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000064,プレゼンテーション実践,ビジネススキル,2025-05-12,8,40000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000065,プレゼンテーション実践,ビジネススキル,2024-11-05,8,40000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000066,ハラスメント防止 eラーニング,eラーニング,2025-01-09,2,8000,途中離脱,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000067,ハラスメント防止 eラーニング,eラーニング,2025-03-14,2,8000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000068,ハラスメント防止 eラーニング,eラーニング,2025-10-06,2,8000,途中離脱,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000069,タイムマネジメント eラーニング,eラーニング,2026-02-21,4,12000,途中離脱,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000070,Excel スキルアップ eラーニング,eラーニング,2025-07-22,6,15000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000071,個人情報保護 (年次),コンプライアンス,2025-08-10,2,5000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000072,独占禁止法 (年次),コンプライアンス,2024-07-10,2,5000,途中離脱,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000073,独占禁止法 (年次),コンプライアンス,2025-09-08,2,5000,完了,E000006,後藤,男,29,Sales,Senior Staff,2,2017-04-15,,,3.0,1.0,True,4.0
TR000074,マネジメント実践,リーダーシップ,2025-10-04,24,150000,完了,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000075,タイムマネジメント eラーニング,eラーニング,2025-11-28,4,12000,未着手,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000076,タイムマネジメント eラーニング,eラーニング,2024-08-01,4,12000,途中離脱,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000077,ハラスメント防止 eラーニング,eラーニング,2025-03-02,2,8000,未着手,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000078,メンタルヘルス eラーニング,eラーニング,2025-03-20,2,8000,完了,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000079,ビジネスマナー eラーニング,eラーニング,2024-11-01,4,10000,未着手,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000080,個人情報保護 (年次),コンプライアンス,2024-09-12,2,5000,完了,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000081,インサイダー取引 (年次),コンプライアンス,2024-08-20,2,5000,完了,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000082,独占禁止法 (年次),コンプライアンス,2025-02-23,2,5000,完了,E000007,田中,女,34,Engineering,Assistant Manager,3,2014-12-16,,,4.0,0.0,False,4.0
TR000083,コーチングスキル,リーダーシップ,2025-09-04,24,120000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000084,チームビルディング実践,リーダーシップ,2026-01-12,16,90000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000085,ビジネスライティング,ビジネススキル,2024-12-03,8,35000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000086,タイムマネジメント eラーニング,eラーニング,2026-01-14,4,12000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000087,ハラスメント防止 eラーニング,eラーニング,2024-05-14,2,8000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000088,ビジネスマナー eラーニング,eラーニング,2025-10-07,4,10000,途中離脱,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000089,ビジネスマナー eラーニング,eラーニング,2026-03-21,4,10000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000090,独占禁止法 (年次),コンプライアンス,2024-10-19,2,5000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000091,独占禁止法 (年次),コンプライアンス,2025-10-23,2,5000,完了,E000008,中島,男,51,Sales,Senior Manager,5,2007-12-07,,,3.0,1.0,True,4.0
TR000092,マネジメント実践,リーダーシップ,2026-03-09,24,150000,途中離脱,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000093,マネジメント実践,リーダーシップ,2025-06-26,24,150000,途中離脱,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000094,エグゼクティブリーダーシップ,リーダーシップ,2025-04-02,40,400000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000095,交渉術,ビジネススキル,2025-03-02,8,45000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000096,交渉術,ビジネススキル,2025-05-06,8,45000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000097,交渉術,ビジネススキル,2024-06-19,8,45000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000098,ロジカルシンキング,ビジネススキル,2025-09-08,16,60000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000099,ハラスメント防止 eラーニング,eラーニング,2026-03-20,2,8000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000100,タイムマネジメント eラーニング,eラーニング,2025-12-05,4,12000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000101,メンタルヘルス eラーニング,eラーニング,2024-07-05,2,8000,途中離脱,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000102,Excel スキルアップ eラーニング,eラーニング,2025-02-20,6,15000,途中離脱,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000103,独占禁止法 (年次),コンプライアンス,2024-10-23,2,5000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000104,独占禁止法 (年次),コンプライアンス,2025-05-06,2,5000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000105,独占禁止法 (年次),コンプライアンス,2024-10-21,2,5000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000106,独占禁止法 (年次),コンプライアンス,2024-11-20,2,5000,完了,E000009,小林,女,40,Sales,Manager,4,2011-03-22,,,3.0,2.0,True,4.0
TR000107,チームビルディング実践,リーダーシップ,2025-03-18,16,90000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000108,コーチングスキル,リーダーシップ,2024-08-23,24,120000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000109,チームビルディング実践,リーダーシップ,2024-05-25,16,90000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000110,データベース設計,テクニカル,2025-05-24,16,70000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000111,セキュリティエンジニアリング,テクニカル,2025-11-11,24,140000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000112,プレゼンテーション実践,ビジネススキル,2024-10-31,8,40000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000113,メンタルヘルス eラーニング,eラーニング,2025-01-24,2,8000,未着手,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000114,ビジネスマナー eラーニング,eラーニング,2025-01-17,4,10000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000115,ビジネスマナー eラーニング,eラーニング,2026-03-19,4,10000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000116,メンタルヘルス eラーニング,eラーニング,2024-12-06,2,8000,未着手,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000117,タイムマネジメント eラーニング,eラーニング,2026-02-06,4,12000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000118,インサイダー取引 (年次),コンプライアンス,2024-11-10,2,5000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000119,独占禁止法 (年次),コンプライアンス,2024-09-07,2,5000,完了,E000010,田中,男,34,Consulting,Senior Manager,5,2006-07-10,,,2.0,0.0,False,4.0
TR000120,リーダーシップ基礎,リーダーシップ,2025-04-23,16,80000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000121,アジャイル開発 (Scrum Master),テクニカル,2024-04-11,24,120000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000122,ハラスメント防止 eラーニング,eラーニング,2024-12-17,2,8000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000123,メンタルヘルス eラーニング,eラーニング,2025-04-06,2,8000,未着手,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000124,Excel スキルアップ eラーニング,eラーニング,2025-08-08,6,15000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000125,ハラスメント防止 eラーニング,eラーニング,2025-04-10,2,8000,未着手,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000126,Excel スキルアップ eラーニング,eラーニング,2024-05-10,6,15000,途中離脱,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000127,インサイダー取引 (年次),コンプライアンス,2025-09-08,2,5000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000128,インサイダー取引 (年次),コンプライアンス,2024-07-19,2,5000,完了,E000011,森,女,46,Engineering,Manager,4,2011-03-09,,,3.0,1.0,True,4.0
TR000129,ロジカルシンキング,ビジネススキル,2025-06-05,16,60000,完了,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000130,タイムマネジメント eラーニング,eラーニング,2024-04-08,4,12000,途中離脱,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000131,タイムマネジメント eラーニング,eラーニング,2025-09-24,4,12000,完了,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000132,情報セキュリティ基礎 eラーニング,eラーニング,2025-05-06,3,10000,未着手,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000133,ハラスメント防止 eラーニング,eラーニング,2025-06-15,2,8000,途中離脱,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000134,ビジネスマナー eラーニング,eラーニング,2025-08-02,4,10000,途中離脱,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000135,インサイダー取引 (年次),コンプライアンス,2024-09-09,2,5000,完了,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000136,インサイダー取引 (年次),コンプライアンス,2025-01-08,2,5000,完了,E000012,坂本,男,38,Sales,Manager,4,2009-12-21,2025-10-05,転職,3.0,1.0,True,3.0
TR000137,データベース設計,テクニカル,2024-07-03,16,70000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000138,英語ビジネス会話,ビジネススキル,2025-06-30,48,180000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000139,情報セキュリティ基礎 eラーニング,eラーニング,2026-03-01,3,10000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000140,情報セキュリティ基礎 eラーニング,eラーニング,2024-04-19,3,10000,未着手,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000141,Excel スキルアップ eラーニング,eラーニング,2024-12-24,6,15000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000142,タイムマネジメント eラーニング,eラーニング,2024-06-26,4,12000,途中離脱,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000143,メンタルヘルス eラーニング,eラーニング,2024-12-18,2,8000,途中離脱,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000144,インサイダー取引 (年次),コンプライアンス,2025-07-04,2,5000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000145,個人情報保護 (年次),コンプライアンス,2025-06-28,2,5000,完了,E000013,小川,男,32,Finance,Staff,1,2020-05-04,,,3.0,0.0,False,4.0
TR000146,チームビルディング実践,リーダーシップ,2024-04-12,16,90000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000147,マネジメント実践,リーダーシップ,2024-04-15,24,150000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000148,コーチングスキル,リーダーシップ,2025-05-13,24,120000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000149,プレゼンテーション実践,ビジネススキル,2026-03-16,8,40000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000150,ロジカルシンキング,ビジネススキル,2024-07-16,16,60000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000151,ビジネスマナー eラーニング,eラーニング,2025-02-09,4,10000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000152,情報セキュリティ基礎 eラーニング,eラーニング,2025-03-28,3,10000,途中離脱,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000153,ハラスメント防止 eラーニング,eラーニング,2025-07-12,2,8000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000154,Excel スキルアップ eラーニング,eラーニング,2025-08-27,6,15000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000155,独占禁止法 (年次),コンプライアンス,2025-12-01,2,5000,途中離脱,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000156,独占禁止法 (年次),コンプライアンス,2024-11-01,2,5000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000157,個人情報保護 (年次),コンプライアンス,2025-11-14,2,5000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000158,独占禁止法 (年次),コンプライアンス,2024-06-03,2,5000,完了,E000014,前田,女,45,Sales,Assistant Manager,3,2013-08-24,,,4.0,2.0,True,4.0
TR000159,Python プログラミング実践,テクニカル,2025-07-31,40,180000,完了,E000015,石井,男,30,Consulting,Staff,1,2018-09-11,,,4.0,1.0,True,4.0
