purchase_id,purchase_date,category,product_name,amount,channel,store_name,customer_id,customer_last_name,gender,age,prefecture,register_date,total_purchases,total_spent,customer_segment,is_first_purchase,days_since_last_in_category
PR0000019,2025-04-01,ゲーム・玩具,ゲームソフト,70971,店舗,横浜駅前店,C00007,鈴木,男,32,北海道,2023-07-11,2,111418,Regular,False,
PR0000020,2025-03-11,美容家電・小物,電気シェーバー,40447,店舗,新宿店,C00007,鈴木,男,32,北海道,2023-07-11,2,111418,Regular,True,
PR0000022,2026-02-11,PC・タブレット,ノートPC 13型,234197,店舗,福岡天神店,C00008,石川,男,57,愛知県,2026-01-17,3,702087,Loyal,True,
PR0000021,2026-03-30,スマートフォン,Pro モデル 512GB,123201,店舗,渋谷店,C00008,石川,男,57,愛知県,2026-01-17,3,702087,Loyal,False,
PR0000023,2026-02-26,洗濯機,全自動 8kg,344689,店舗,大阪梅田店,C00008,石川,男,57,愛知県,2026-01-17,3,702087,Loyal,False,
PR0000024,2023-10-17,スマートフォン,ミドルレンジ機種,60805,店舗,渋谷店,C00009,渡辺,女,53,大阪府,2023-03-19,1,60805,Inactive,True,
PR0000025,2026-03-17,PC・タブレット,ノートPC 15型,322922,EC,,C00010,佐藤,女,38,愛知県,2025-10-12,2,391125,Regular,False,
PR0000026,2026-03-03,美容家電・小物,マッサージガン,68203,店舗,池袋店,C00010,佐藤,女,38,愛知県,2025-10-12,2,391125,Regular,True,
PR0000030,2021-09-12,エアコン,エアコン 18畳用,174097,店舗,秋葉原店,C00011,加藤,女,22,兵庫県,2021-09-02,5,415402,Loyal,True,
PR0000031,2022-05-22,オーディオ,Bluetoothスピーカー,45008,店舗,新宿店,C00011,加藤,女,22,兵庫県,2021-09-02,5,415402,Loyal,False,
PR0000027,2024-12-07,ゲーム・玩具,携帯ゲーム機,62218,EC,,C00011,加藤,女,22,兵庫県,2021-09-02,5,415402,Loyal,False,
PR0000028,2022-10-01,美容家電・小物,美顔器,61021,EC,,C00011,加藤,女,22,兵庫県,2021-09-02,5,415402,Loyal,False,
PR0000029,2025-02-20,美容家電・小物,美顔器,73058,店舗,渋谷店,C00011,加藤,女,22,兵庫県,2021-09-02,5,415402,Loyal,False,873
PR0000036,2025-04-13,PC・タブレット,ノートPC 13型,62604,EC,,C00012,村上,女,42,愛知県,2023-05-29,5,854693,VIP,False,
PR0000033,2024-10-13,ゲーム・玩具,ゲームソフト,15008,EC,,C00012,村上,女,42,愛知県,2023-05-29,5,854693,VIP,False,
PR0000035,2025-10-02,テレビ,4K テレビ 50型,438848,EC,,C00012,村上,女,42,愛知県,2023-05-29,5,854693,VIP,False,
PR0000034,2023-12-29,洗濯機,全自動 8kg,330949,EC,,C00012,村上,女,42,愛知県,2023-05-29,5,854693,VIP,True,
PR0000032,2024-03-22,美容家電・小物,ヘアアイロン,7284,EC,,C00012,村上,女,42,愛知県,2023-05-29,5,854693,VIP,False,
PR0000038,2025-05-08,スマートフォン,ミドルレンジ機種,46038,EC,,C00013,佐々木,女,41,北海道,2021-08-28,2,61143,Regular,False,
PR0000037,2024-07-05,美容家電・小物,マッサージガン,15105,店舗,渋谷店,C00013,佐々木,女,41,北海道,2021-08-28,2,61143,Regular,True,
PR0000040,2023-04-19,カメラ・ビデオ,アクションカメラ,281620,EC,,C00015,山本,男,49,東京都,2021-08-25,2,290486,Inactive,False,
PR0000039,2022-07-31,ゲーム・玩具,VR ゴーグル,8866,EC,,C00015,山本,男,49,東京都,2021-08-25,2,290486,Inactive,True,
PR0000042,2024-11-02,スマートフォン,スタンダード 128GB,162462,店舗,秋葉原店,C00016,遠藤,男,39,千葉県,2022-08-16,2,505098,Regular,False,
PR0000041,2023-02-07,冷蔵庫,フレンチドア 700L,342636,店舗,福岡天神店,C00016,遠藤,男,39,千葉県,2022-08-16,2,505098,Regular,True,
PR0000043,2025-07-17,スマートフォン,スタンダード 128GB,60459,店舗,大阪梅田店,C00017,佐々木,男,38,神奈川県,2022-08-10,2,161128,Regular,False,
PR0000044,2022-11-25,冷蔵庫,冷蔵庫 400L,100669,EC,,C00017,佐々木,男,38,神奈川県,2022-08-10,2,161128,Regular,True,
PR0000045,2022-11-07,PC・タブレット,ノートPC 15型,65047,EC,,C00018,前田,男,34,東京都,2022-09-30,3,367428,Loyal,True,
PR0000046,2025-09-06,エアコン,エアコン 6畳用,280236,EC,,C00018,前田,男,34,東京都,2022-09-30,3,367428,Loyal,False,
PR0000047,2023-05-22,ゲーム・玩具,ゲームソフト,22145,EC,,C00018,前田,男,34,東京都,2022-09-30,3,367428,Loyal,False,
PR0000048,2022-02-21,テレビ,有機EL 55型,100036,EC,,C00019,村上,女,51,福岡県,2021-06-19,2,553882,Regular,True,
PR0000049,2025-05-04,冷蔵庫,コンパクト冷蔵庫,453846,店舗,渋谷店,C00019,村上,女,51,福岡県,2021-06-19,2,553882,Regular,False,
PR0000050,2026-02-03,スマートフォン,スタンダード 128GB,66977,店舗,福岡天神店,C00020,近藤,女,63,福岡県,2022-11-14,2,356518,Regular,True,
PR0000051,2026-03-30,テレビ,プロジェクター,289541,店舗,渋谷店,C00020,近藤,女,63,福岡県,2022-11-14,2,356518,Regular,False,
PR0000052,2025-09-01,PC・タブレット,ゲーミングPC,216091,店舗,池袋店,C00021,井上,女,25,東京都,2021-11-03,2,381415,Regular,False,
PR0000053,2022-11-20,テレビ,4K テレビ 65型,165324,店舗,大阪梅田店,C00021,井上,女,25,東京都,2021-11-03,2,381415,Regular,True,
PR0000054,2023-12-06,スマートフォン,ミドルレンジ機種,84710,店舗,福岡天神店,C00022,中村,男,54,千葉県,2023-08-30,2,128844,Inactive,True,
PR0000055,2024-01-25,美容家電・小物,電動歯ブラシ,44134,店舗,名古屋栄店,C00022,中村,男,54,千葉県,2023-08-30,2,128844,Inactive,False,
PR0000056,2023-12-28,テレビ,有機EL 75型,273988,EC,,C00023,山田,女,22,千葉県,2023-09-11,1,273988,Inactive,True,
PR0000058,2024-04-11,PC・タブレット,ゲーミングPC,219747,店舗,名古屋栄店,C00024,中村,女,45,宮城県,2023-12-28,5,696042,VIP,True,
PR0000060,2024-09-14,エアコン,業務用エアコン,180721,店舗,横浜駅前店,C00024,中村,女,45,宮城県,2023-12-28,5,696042,VIP,False,
PR0000059,2024-12-04,オーディオ,Bluetoothスピーカー,115320,EC,,C00024,中村,女,45,宮城県,2023-12-28,5,696042,VIP,False,
PR0000061,2024-09-17,冷蔵庫,冷蔵庫 500L,158947,店舗,天王寺店,C00024,中村,女,45,宮城県,2023-12-28,5,696042,VIP,False,
PR0000057,2025-11-21,美容家電・小物,ヘアアイロン,21307,店舗,名古屋栄店,C00024,中村,女,45,宮城県,2023-12-28,5,696042,VIP,False,
PR0000064,2024-02-19,エアコン,エアコン 14畳用,232825,店舗,池袋店,C00025,清水,女,47,京都府,2021-10-04,4,637937,Loyal,False,
PR0000062,2022-02-15,ゲーム・玩具,VR ゴーグル,48072,店舗,渋谷店,C00025,清水,女,47,京都府,2021-10-04,4,637937,Loyal,True,
PR0000063,2026-02-19,ゲーム・玩具,ゲームソフト,10444,店舗,札幌駅前店,C00025,清水,女,47,京都府,2021-10-04,4,637937,Loyal,False,1465
PR0000065,2026-01-24,洗濯機,乾燥機能付き 10kg,346596,店舗,横浜駅前店,C00025,清水,女,47,京都府,2021-10-04,4,637937,Loyal,False,
PR0000070,2023-09-17,PC・タブレット,タブレット 10型,215324,EC,,C00026,青木,男,49,広島県,2022-08-22,5,689952,VIP,False,
PR0000068,2025-12-19,オーディオ,ターンテーブル,47746,EC,,C00026,青木,男,49,広島県,2022-08-22,5,689952,VIP,False,
PR0000067,2024-01-20,ゲーム・玩具,ボードゲーム,66220,EC,,C00026,青木,男,49,広島県,2022-08-22,5,689952,VIP,False,
PR0000069,2023-08-22,冷蔵庫,冷蔵庫 500L,338126,EC,,C00026,青木,男,49,広島県,2022-08-22,5,689952,VIP,True,
PR0000066,2025-04-15,美容家電・小物,美顔器,22536,EC,,C00026,青木,男,49,広島県,2022-08-22,5,689952,VIP,False,
PR0000071,2026-01-18,テレビ,4K テレビ 50型,226316,店舗,池袋店,C00027,伊藤,男,43,兵庫県,2025-06-10,2,394847,Regular,True,
PR0000072,2026-03-12,洗濯機,乾燥機能付き 10kg,168531,EC,,C00027,伊藤,男,43,兵庫県,2025-06-10,2,394847,Regular,False,
PR0000078,2024-01-01,PC・タブレット,ノートPC 15型,55081,店舗,名古屋栄店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,
PR0000075,2022-03-17,エアコン,エアコン 14畳用,370081,店舗,池袋店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,True,
PR0000079,2024-10-21,カメラ・ビデオ,アクションカメラ,299563,店舗,秋葉原店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,
PR0000073,2024-03-05,スマートフォン,コンパクトモデル,45279,店舗,池袋店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,
PR0000074,2026-03-03,スマートフォン,最新スマホ 256GB,98332,店舗,札幌駅前店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,728
PR0000076,2022-04-03,美容家電・小物,ドライヤー,36835,店舗,池袋店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,
PR0000077,2024-09-20,美容家電・小物,マッサージガン,50621,店舗,渋谷店,C00028,加藤,男,39,東京都,2022-03-06,7,955792,VIP,False,901
PR0000082,2024-08-28,PC・タブレット,タブレット 10型,83788,EC,,C00029,中村,男,51,福岡県,2024-07-15,3,628836,Loyal,True,
PR0000081,2024-10-24,スマートフォン,ハイエンド 1TB,116800,EC,,C00029,中村,男,51,福岡県,2024-07-15,3,628836,Loyal,False,
PR0000080,2026-01-08,冷蔵庫,フレンチドア 700L,428248,店舗,福岡天神店,C00029,中村,男,51,福岡県,2024-07-15,3,628836,Loyal,False,
PR0000083,2025-07-19,オーディオ,ワイヤレスイヤホン,108426,EC,,C00030,山崎,男,67,埼玉県,2022-08-12,2,304484,Regular,True,
PR0000084,2026-01-24,スマートフォン,コンパクトモデル,196058,店舗,福岡天神店,C00030,山崎,男,67,埼玉県,2022-08-12,2,304484,Regular,False,
PR0000085,2021-11-30,洗濯機,全自動 8kg,225597,店舗,名古屋栄店,C00031,田中,男,51,宮城県,2021-09-22,1,225597,Inactive,True,
PR0000087,2026-03-10,PC・タブレット,ノートPC 13型,61735,EC,,C00032,坂本,女,40,北海道,2025-03-28,4,427814,Loyal,False,
PR0000089,2025-08-06,オーディオ,Bluetoothスピーカー,106251,EC,,C00032,坂本,女,40,北海道,2025-03-28,4,427814,Loyal,False,
PR0000086,2025-04-22,洗濯機,乾燥機能付き 10kg,251222,店舗,札幌駅前店,C00032,坂本,女,40,北海道,2025-03-28,4,427814,Loyal,True,
PR0000088,2025-09-04,美容家電・小物,電気シェーバー,8606,EC,,C00032,坂本,女,40,北海道,2025-03-28,4,427814,Loyal,False,
PR0000091,2024-03-15,PC・タブレット,ゲーミングPC,140178,店舗,大阪梅田店,C00033,加藤,男,22,神奈川県,2023-04-06,3,167098,Regular,False,
PR0000092,2023-09-24,ゲーム・玩具,携帯ゲーム機,12882,店舗,秋葉原店,C00033,加藤,男,22,神奈川県,2023-04-06,3,167098,Regular,True,
PR0000090,2024-05-18,美容家電・小物,ドライヤー,14038,店舗,秋葉原店,C00033,加藤,男,22,神奈川県,2023-04-06,3,167098,Regular,False,
PR0000094,2026-01-28,テレビ,スマートテレビ 43型,303266,店舗,秋葉原店,C00034,松本,男,53,兵庫県,2024-12-20,2,689575,Regular,True,
PR0000093,2026-03-13,冷蔵庫,コンパクト冷蔵庫,386309,EC,,C00034,松本,男,53,兵庫県,2024-12-20,2,689575,Regular,False,
PR0000096,2023-11-04,スマートフォン,ミドルレンジ機種,134601,店舗,渋谷店,C00035,小林,男,45,東京都,2022-08-22,3,667269,Loyal,True,
PR0000097,2026-02-02,スマートフォン,最新スマホ 256GB,80712,店舗,天王寺店,C00035,小林,男,45,東京都,2022-08-22,3,667269,Loyal,False,821
PR0000095,2024-08-06,冷蔵庫,コンパクト冷蔵庫,451956,店舗,横浜駅前店,C00035,小林,男,45,東京都,2022-08-22,3,667269,Loyal,False,
PR0000098,2026-03-19,エアコン,業務用エアコン,371968,店舗,渋谷店,C00036,中島,女,70,神奈川県,2023-10-11,5,901085,VIP,False,
PR0000100,2024-03-15,オーディオ,ワイヤレスイヤホン,47513,店舗,名古屋栄店,C00036,中島,女,70,神奈川県,2023-10-11,5,901085,VIP,False,
PR0000101,2023-11-03,冷蔵庫,冷蔵庫 500L,184655,店舗,新宿店,C00036,中島,女,70,神奈川県,2023-10-11,5,901085,VIP,True,
PR0000099,2023-11-04,洗濯機,縦型洗濯機,231251,店舗,天王寺店,C00036,中島,女,70,神奈川県,2023-10-11,5,901085,VIP,False,
PR0000102,2026-01-26,美容家電・小物,電気シェーバー,65698,店舗,名古屋栄店,C00036,中島,女,70,神奈川県,2023-10-11,5,901085,VIP,False,
PR0000103,2025-05-12,テレビ,スマートテレビ 43型,163347,EC,,C00037,石井,男,49,神奈川県,2023-12-24,2,499342,Regular,False,
PR0000104,2024-11-15,洗濯機,全自動 8kg,335995,EC,,C00037,石井,男,49,神奈川県,2023-12-24,2,499342,Regular,True,
PR0000106,2025-09-28,PC・タブレット,ノートPC 13型,261232,店舗,札幌駅前店,C00038,山崎,男,36,北海道,2025-01-17,3,479499,Loyal,False,
PR0000107,2025-04-08,オーディオ,ヘッドホン,77991,店舗,天王寺店,C00038,山崎,男,36,北海道,2025-01-17,3,479499,Loyal,True,
PR0000105,2025-04-11,テレビ,4K テレビ 50型,140276,店舗,新宿店,C00038,山崎,男,36,北海道,2025-01-17,3,479499,Loyal,False,
PR0000109,2023-02-22,エアコン,エアコン 14畳用,167324,店舗,池袋店,C00039,小川,女,48,北海道,2022-07-22,2,242371,Inactive,True,
PR0000108,2023-11-19,スマートフォン,ミドルレンジ機種,75047,店舗,池袋店,C00039,小川,女,48,北海道,2022-07-22,2,242371,Inactive,False,
PR0000111,2026-01-21,PC・タブレット,ノートPC 13型,114459,店舗,福岡天神店,C00040,山本,男,65,大阪府,2025-11-01,2,188773,Regular,True,
PR0000110,2026-02-25,ゲーム・玩具,携帯ゲーム機,74314,EC,,C00040,山本,男,65,大阪府,2025-11-01,2,188773,Regular,False,
PR0000112,2021-12-19,オーディオ,ターンテーブル,41830,EC,,C00041,山下,女,56,愛知県,2021-10-27,1,41830,Inactive,True,
PR0000113,2025-12-09,PC・タブレット,ノートPC 15型,334932,EC,,C00042,伊藤,女,63,東京都,2023-05-02,1,334932,Light,True,
PR0000115,2023-07-23,スマートフォン,最新スマホ 256GB,172710,EC,,C00043,佐藤,女,48,福岡県,2021-10-13,2,469307,Inactive,False,
PR0000114,2022-01-12,洗濯機,縦型洗濯機,296597,店舗,名古屋栄店,C00043,佐藤,女,48,福岡県,2021-10-13,2,469307,Inactive,True,
PR0000120,2025-04-06,オーディオ,ホームオーディオ,188871,店舗,池袋店,C00044,山田,女,46,北海道,2024-07-15,5,1035320,VIP,False,
PR0000117,2025-07-16,スマートフォン,最新スマホ 256GB,77269,店舗,渋谷店,C00044,山田,女,46,北海道,2024-07-15,5,1035320,VIP,False,
PR0000118,2024-12-26,テレビ,4K テレビ 50型,453621,店舗,大阪梅田店,C00044,山田,女,46,北海道,2024-07-15,5,1035320,VIP,False,
PR0000119,2025-03-13,冷蔵庫,冷蔵庫 400L,258016,店舗,大阪梅田店,C00044,山田,女,46,北海道,2024-07-15,5,1035320,VIP,False,
PR0000116,2024-07-28,美容家電・小物,電動歯ブラシ,57543,店舗,福岡天神店,C00044,山田,女,46,北海道,2024-07-15,5,1035320,VIP,True,
PR0000121,2025-04-07,スマートフォン,Pro モデル 512GB,189310,店舗,新宿店,C00045,村上,男,56,広島県,2024-03-05,1,189310,Light,True,
PR0000123,2025-07-13,スマートフォン,ミドルレンジ機種,45567,店舗,新宿店,C00046,藤田,女,47,兵庫県,2025-03-17,2,62420,Regular,True,
PR0000122,2025-11-25,美容家電・小物,マッサージガン,16853,店舗,横浜駅前店,C00046,藤田,女,47,兵庫県,2025-03-17,2,62420,Regular,False,
PR0000126,2025-09-17,エアコン,業務用エアコン,352229,店舗,横浜駅前店,C00047,中島,女,46,神奈川県,2025-05-12,3,497735,Loyal,False,
PR0000125,2026-02-20,テレビ,プロジェクター,131139,店舗,渋谷店,C00047,中島,女,46,神奈川県,2025-05-12,3,497735,Loyal,False,
PR0000124,2025-07-09,美容家電・小物,美顔器,14367,EC,,C00047,中島,女,46,神奈川県,2025-05-12,3,497735,Loyal,True,
PR0000131,2024-04-03,PC・タブレット,ゲーミングPC,301371,EC,,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000130,2025-01-14,エアコン,エアコン 18畳用,363175,店舗,新宿店,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000133,2025-03-03,オーディオ,ターンテーブル,157628,店舗,天王寺店,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000134,2024-01-08,カメラ・ビデオ,交換レンズ,231195,EC,,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000135,2023-01-16,ゲーム・玩具,コントローラ,34558,店舗,渋谷店,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,True,
PR0000129,2025-08-04,スマートフォン,Pro モデル 512GB,32462,EC,,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000132,2024-08-22,テレビ,4K テレビ 65型,360029,EC,,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000127,2023-04-01,美容家電・小物,電気シェーバー,37052,店舗,新宿店,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,
PR0000128,2025-05-03,美容家電・小物,電動歯ブラシ,16256,EC,,C00048,中村,女,30,東京都,2022-04-22,9,1533726,VIP,False,763
PR0000136,2025-01-23,PC・タブレット,ノートPC 13型,230546,EC,,C00049,加藤,男,24,福岡県,2024-08-18,1,230546,Light,True,
PR0000139,2026-02-07,PC・タブレット,ノートPC 15型,152950,店舗,名古屋栄店,C00050,渡辺,男,74,愛知県,2025-10-29,3,757109,Loyal,False,
PR0000137,2025-11-30,カメラ・ビデオ,コンパクトデジカメ,136540,店舗,札幌駅前店,C00050,渡辺,男,74,愛知県,2025-10-29,3,757109,Loyal,True,
PR0000138,2026-01-21,テレビ,スマートテレビ 43型,467619,店舗,札幌駅前店,C00050,渡辺,男,74,愛知県,2025-10-29,3,757109,Loyal,False,
PR0000143,2023-03-01,PC・タブレット,2-in-1 PC,98342,店舗,横浜駅前店,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,False,
PR0000145,2025-03-24,オーディオ,サウンドバー,80910,店舗,大阪梅田店,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,False,
PR0000141,2024-09-21,カメラ・ビデオ,コンパクトデジカメ,69177,EC,,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,False,
PR0000142,2022-10-13,ゲーム・玩具,VR ゴーグル,23585,店舗,札幌駅前店,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,True,
PR0000140,2024-02-24,スマートフォン,最新スマホ 256GB,96947,店舗,渋谷店,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,False,
PR0000144,2024-07-23,テレビ,プロジェクター,308030,店舗,名古屋栄店,C00051,山本,男,22,北海道,2022-10-12,6,676991,VIP,False,
PR0000146,2025-06-29,エアコン,エアコン 10畳用,193318,店舗,名古屋栄店,C00052,斎藤,男,75,北海道,2025-02-25,3,334452,Loyal,False,
PR0000148,2025-03-10,オーディオ,Bluetoothスピーカー,91256,店舗,池袋店,C00052,斎藤,男,75,北海道,2025-02-25,3,334452,Loyal,True,
PR0000147,2025-10-10,ゲーム・玩具,据置型ゲーム機,49878,EC,,C00052,斎藤,男,75,北海道,2025-02-25,3,334452,Loyal,False,
PR0000152,2024-10-28,PC・タブレット,2-in-1 PC,68704,EC,,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,False,
PR0000154,2024-02-03,カメラ・ビデオ,交換レンズ,186678,店舗,天王寺店,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,True,
PR0000149,2024-03-17,スマートフォン,コンパクトモデル,150239,店舗,札幌駅前店,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,False,
PR0000150,2026-03-06,スマートフォン,ミドルレンジ機種,195297,EC,,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,False,719
PR0000153,2025-09-01,冷蔵庫,冷蔵庫 500L,116626,店舗,天王寺店,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,False,
PR0000151,2026-01-15,美容家電・小物,電気シェーバー,72302,店舗,福岡天神店,C00053,吉田,男,33,大阪府,2023-08-21,6,789846,VIP,False,
PR0000158,2023-10-22,PC・タブレット,タブレット 10型,79042,店舗,秋葉原店,C00054,藤田,女,64,京都府,2022-05-28,4,399659,Loyal,False,
PR0000156,2024-06-06,エアコン,エアコン 10畳用,152953,店舗,横浜駅前店,C00054,藤田,女,64,京都府,2022-05-28,4,399659,Loyal,False,
PR0000157,2022-07-12,洗濯機,乾燥機能付き 10kg,131495,店舗,名古屋栄店,C00054,藤田,女,64,京都府,2022-05-28,4,399659,Loyal,True,
PR0000155,2023-09-11,美容家電・小物,ドライヤー,36169,店舗,大阪梅田店,C00054,藤田,女,64,京都府,2022-05-28,4,399659,Loyal,False,
PR0000166,2024-12-02,PC・タブレット,2-in-1 PC,64094,店舗,札幌駅前店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000161,2025-10-11,エアコン,業務用エアコン,90277,EC,,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000164,2025-07-09,オーディオ,サウンドバー,160962,店舗,天王寺店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000162,2024-06-08,カメラ・ビデオ,ミラーレス一眼,69548,店舗,横浜駅前店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,True,
PR0000165,2026-03-29,ゲーム・玩具,VR ゴーグル,18047,店舗,横浜駅前店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000163,2025-09-30,スマートフォン,Pro モデル 512GB,57344,店舗,横浜駅前店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000160,2026-03-04,洗濯機,乾燥機能付き 10kg,256437,店舗,新宿店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000159,2025-05-07,美容家電・小物,ドライヤー,55614,店舗,横浜駅前店,C00055,前田,女,40,兵庫県,2024-05-06,8,772323,VIP,False,
PR0000167,2025-04-22,スマートフォン,コンパクトモデル,85422,EC,,C00056,森,女,66,愛知県,2022-09-23,3,203775,Loyal,False,
PR0000169,2024-07-08,テレビ,プロジェクター,102050,店舗,名古屋栄店,C00056,森,女,66,愛知県,2022-09-23,3,203775,Loyal,True,
PR0000168,2025-01-16,美容家電・小物,ヘアアイロン,16303,EC,,C00056,森,女,66,愛知県,2022-09-23,3,203775,Loyal,False,
PR0000171,2024-05-30,スマートフォン,最新スマホ 256GB,141988,EC,,C00057,坂本,男,33,千葉県,2022-06-05,2,377727,Regular,False,
PR0000170,2023-01-25,テレビ,有機EL 75型,235739,EC,,C00057,坂本,男,33,千葉県,2022-06-05,2,377727,Regular,True,
PR0000172,2022-12-14,冷蔵庫,コンパクト冷蔵庫,380491,EC,,C00058,石川,男,54,福岡県,2022-11-06,1,380491,Inactive,True,
PR0000173,2026-01-15,スマートフォン,最新スマホ 256GB,174633,EC,,C00059,松本,女,34,神奈川県,2025-05-10,3,693383,Loyal,False,
PR0000175,2025-11-22,冷蔵庫,冷蔵庫 400L,470900,店舗,天王寺店,C00059,松本,女,34,神奈川県,2025-05-10,3,693383,Loyal,False,
PR0000174,2025-08-18,美容家電・小物,電動歯ブラシ,47850,EC,,C00059,松本,女,34,神奈川県,2025-05-10,3,693383,Loyal,True,
PR0000176,2024-09-11,PC・タブレット,ワークステーション,178291,店舗,天王寺店,C00060,森,女,57,埼玉県,2022-07-02,3,313245,Loyal,False,
PR0000178,2023-08-17,オーディオ,ワイヤレスイヤホン,89342,EC,,C00060,森,女,57,埼玉県,2022-07-02,3,313245,Loyal,True,
PR0000177,2025-02-22,美容家電・小物,美顔器,45612,店舗,天王寺店,C00060,森,女,57,埼玉県,2022-07-02,3,313245,Loyal,False,
PR0000179,2022-12-09,PC・タブレット,2-in-1 PC,132947,EC,,C00062,清水,女,40,兵庫県,2021-08-09,1,132947,Inactive,True,
