order_line_id,order_id,order_datetime,quantity,unit_price,line_total,channel,device,product_id,product_name,major_category,minor_category,customer_id,customer_last_name,gender,age,prefecture,register_date,churn_date,acquisition_channel,total_orders,total_spent,first_month_orders,loyalty_tier
OL0000025,ORD000014,2026-03-24 20:14:00,1,2800,2800,Organic Search,PC,P0193,マスカラ,コスメ・ビューティ,メイク,C001936,山崎,女,51.0,千葉県,2025-10-04,,Email,10.0,152432.0,3.0,Loyal
OL0000026,ORD000015,2025-06-20 21:51:00,1,780,780,Referral,PC,P0085,味噌800g,食品,調味料,C001147,橋本,男,39.0,東京都,2025-03-23,,Organic Search,5.0,103828.0,1.0,Loyal
OL0000027,ORD000016,2025-12-01 19:09:00,1,12800,12800,Paid Search,Mobile,P0025,ドレス,ファッション,ドレス,C000795,長谷川,女,30.0,東京都,2025-03-10,,SNS Ad,30.0,306700.0,2.0,VIP
OL0000028,ORD000016,2025-12-01 19:09:00,1,2800,2800,Paid Search,Mobile,P0150,経営戦略本,書籍,ビジネス,C000795,長谷川,女,30.0,東京都,2025-03-10,,SNS Ad,30.0,306700.0,2.0,VIP
OL0000029,ORD000016,2025-12-01 19:09:00,1,2280,2280,Paid Search,Mobile,P0183,フェイスマスク10枚,コスメ・ビューティ,スキンケア,C000795,長谷川,女,30.0,東京都,2025-03-10,,SNS Ad,30.0,306700.0,2.0,VIP
OL0000030,ORD000017,2025-06-22 17:52:00,1,5900,5900,Referral,Mobile,P0007,ニットセーター,ファッション,トップス,,,,,,,,,,,,
OL0000031,ORD000018,2025-09-30 11:47:00,1,12800,12800,Email,Mobile,P0040,ハンドバッグ,ファッション,バッグ,C001319,山本,男,35.0,埼玉県,2024-06-12,,SNS Ad,48.0,732523.0,4.0,VIP
OL0000032,ORD000019,2025-12-01 19:18:00,1,780,780,Referral,Mobile,P0240,消毒スプレー,ホーム・日用品,衛生,C001369,青木,女,40.0,東京都,2025-07-19,,Referral,15.0,79603.0,2.0,Loyal
OL0000033,ORD000020,2025-11-15 14:46:00,1,1280,1280,Referral,Mobile,P0165,絵本,書籍,児童,C000044,渡辺,女,20.0,東京都,2025-10-21,,Paid Search,12.0,125556.0,2.0,Loyal
OL0000034,ORD000020,2025-11-15 14:46:00,1,1800,1620,Referral,Mobile,P0209,ボディソープ,コスメ・ビューティ,ボディケア,C000044,渡辺,女,20.0,東京都,2025-10-21,,Paid Search,12.0,125556.0,2.0,Loyal
OL0000035,ORD000020,2025-11-15 14:46:00,1,1480,1480,Referral,Mobile,P0273,スポーツタオル,スポーツ,アクセサリー,C000044,渡辺,女,20.0,東京都,2025-10-21,,Paid Search,12.0,125556.0,2.0,Loyal
OL0000036,ORD000021,2025-10-28 10:46:00,1,1480,1480,SNS Ad,PC,P0263,腹筋ローラー,スポーツ,フィットネス,C000179,阿部,女,42.0,宮城県,2025-10-06,,SNS Ad,10.0,171705.0,3.0,Loyal
OL0000037,ORD000021,2025-10-28 10:46:00,1,14800,13320,SNS Ad,PC,P0275,キャンプテント,スポーツ,アウトドア,C000179,阿部,女,42.0,宮城県,2025-10-06,,SNS Ad,10.0,171705.0,3.0,Loyal
OL0000038,ORD000022,2024-08-24 15:31:00,1,1980,1782,Email,PC,P0157,料理レシピ本,書籍,実用,C001591,石川,女,38.0,埼玉県,2024-05-22,,SNS Ad,50.0,463172.0,4.0,VIP
OL0000039,ORD000023,2025-08-13 21:44:00,1,24800,24800,Referral,Mobile,P0057,電子レンジ,家電,キッチン,C000158,坂本,男,36.0,愛知県,2024-07-15,,Organic Search,14.0,141920.0,1.0,Loyal
OL0000040,ORD000023,2025-08-13 21:44:00,1,780,546,Referral,Mobile,P0170,雑誌 月刊誌,書籍,雑誌,C000158,坂本,男,36.0,愛知県,2024-07-15,,Organic Search,14.0,141920.0,1.0,Loyal
OL0000041,ORD000024,2025-05-06 19:08:00,1,9800,9800,Paid Search,Mobile,P0074,電動歯ブラシ,家電,美容家電,,,,,,,,,,,,
OL0000042,ORD000025,2025-08-11 15:44:00,1,19800,19800,Organic Search,Mobile,P0029,コート,ファッション,アウター,,,,,,,,,,,,
OL0000043,ORD000026,2025-04-22 10:28:00,1,5800,5800,Direct,Mobile,P0005,リネンシャツ,ファッション,トップス,C000054,池田,男,56.0,千葉県,2024-12-09,,Direct,14.0,144237.0,1.0,Loyal
OL0000044,ORD000027,2025-10-15 20:11:00,1,12800,12800,Referral,Mobile,P0262,トレーニングベンチ,スポーツ,フィットネス,C001550,鈴木,女,25.0,福岡県,2025-06-15,,SNS Ad,30.0,326410.0,3.0,VIP
OL0000045,ORD000027,2025-10-15 20:11:00,1,380,380,Referral,Mobile,P0097,うどん乾麺,食品,乾物,C001550,鈴木,女,25.0,福岡県,2025-06-15,,SNS Ad,30.0,326410.0,3.0,VIP
OL0000046,ORD000028,2025-07-10 11:40:00,1,1280,1280,Direct,Mobile,P0130,クッキーアソート,食品,スイーツ,C000163,村上,女,20.0,大阪府,2025-04-21,,Paid Search,3.0,20220.0,0.0,Regular
OL0000047,ORD000029,2025-10-10 14:14:00,3,28800,86400,Organic Search,Mobile,P0054,サウンドバー,家電,AV家電,,,,,,,,,,,,
OL0000048,ORD000030,2024-12-07 13:04:00,3,4800,12240,Direct,Mobile,P0080,マウス,家電,PC・スマホ,C001909,遠藤,男,20.0,兵庫県,2024-07-20,,Referral,42.0,692869.0,1.0,VIP
OL0000049,ORD000030,2024-12-07 13:04:00,1,4800,4800,Direct,Mobile,P0172,アート本,書籍,趣味,C001909,遠藤,男,20.0,兵庫県,2024-07-20,,Referral,42.0,692869.0,1.0,VIP
OL0000050,ORD000030,2024-12-07 13:04:00,1,7800,7800,Direct,Mobile,P0265,トレーニングシューズ,スポーツ,シューズ,C001909,遠藤,男,20.0,兵庫県,2024-07-20,,Referral,42.0,692869.0,1.0,VIP
OL0000051,ORD000031,2025-08-17 11:44:00,1,14800,14800,SNS Ad,Mobile,P0275,キャンプテント,スポーツ,アウトドア,,,,,,,,,,,,
OL0000052,ORD000031,2025-08-17 11:44:00,1,880,704,SNS Ad,Mobile,P0216,洗濯洗剤大,ホーム・日用品,洗濯,,,,,,,,,,,,
OL0000053,ORD000032,2025-06-18 09:09:00,1,1800,1800,Referral,Mobile,P0253,アロマオイル,ホーム・日用品,リビング,,,,,,,,,,,,
OL0000054,ORD000033,2026-01-05 09:17:00,1,2800,2800,Email,Tablet,P0176,化粧水,コスメ・ビューティ,スキンケア,C000715,小林,男,28.0,東京都,2024-10-21,,Organic Search,30.0,310605.0,1.0,VIP
OL0000055,ORD000034,2026-01-20 22:33:00,1,6200,6200,SNS Ad,Mobile,P0013,ワイドパンツ,ファッション,ボトムス,C000255,加藤,女,26.0,東京都,2024-11-23,,SNS Ad,8.0,112030.0,0.0,Loyal
OL0000056,ORD000035,2026-01-23 18:23:00,1,680,680,Organic Search,Mobile,P0217,柔軟剤,ホーム・日用品,洗濯,C001524,木村,男,35.0,兵庫県,2025-11-27,,Email,3.0,29150.0,1.0,Regular
OL0000057,ORD000035,2026-01-23 18:23:00,1,19800,16830,Organic Search,Mobile,P0028,ダウンジャケット,ファッション,アウター,C001524,木村,男,35.0,兵庫県,2025-11-27,,Email,3.0,29150.0,1.0,Regular
OL0000058,ORD000036,2025-08-29 14:41:00,1,6800,6800,Direct,PC,P0041,財布,ファッション,小物,C000128,佐藤,女,31.0,神奈川県,2025-03-04,2026-01-12,Organic Search,19.0,174872.0,3.0,Inactive
OL0000059,ORD000037,2025-05-01 20:11:00,1,1880,1880,Direct,Mobile,P0135,焼酎720ml,食品,お酒,C000411,山下,女,47.0,東京都,2024-11-01,,Paid Search,12.0,104254.0,0.0,Loyal
OL0000060,ORD000038,2026-01-01 14:16:00,1,9800,9800,Paid Search,PC,P0036,ローファー,ファッション,シューズ,C001571,高橋,女,34.0,東京都,2025-08-17,,Direct,4.0,45731.0,1.0,Frequent
OL0000061,ORD000039,2025-11-21 16:25:00,1,1080,1080,Organic Search,Mobile,P0106,日本茶,食品,飲料,C000036,林,女,39.0,千葉県,2024-05-26,,Organic Search,51.0,523678.0,4.0,VIP
OL0000062,ORD000039,2025-11-21 16:25:00,1,3500,2975,Organic Search,Mobile,P0003,ロングスリーブT,ファッション,トップス,C000036,林,女,39.0,千葉県,2024-05-26,,Organic Search,51.0,523678.0,4.0,VIP
OL0000063,ORD000039,2025-11-21 16:25:00,1,2800,2800,Organic Search,Mobile,P0185,クレンジングオイル,コスメ・ビューティ,スキンケア,C000036,林,女,39.0,千葉県,2024-05-26,,Organic Search,51.0,523678.0,4.0,VIP
OL0000064,ORD000040,2025-11-29 22:56:00,1,2280,2166,Organic Search,PC,P0137,クラフトビール6本,食品,お酒,C000134,長谷川,男,20.0,埼玉県,2025-11-05,,SNS Ad,3.0,20366.0,2.0,Regular
OL0000065,ORD000040,2025-11-29 22:56:00,1,780,780,Organic Search,PC,P0170,雑誌 月刊誌,書籍,雑誌,C000134,長谷川,男,20.0,埼玉県,2025-11-05,,SNS Ad,3.0,20366.0,2.0,Regular
OL0000066,ORD000041,2025-12-27 19:56:00,1,19800,19800,Organic Search,PC,P0028,ダウンジャケット,ファッション,アウター,C000717,森,女,52.0,大阪府,2025-02-04,,Organic Search,22.0,214368.0,0.0,VIP
OL0000067,ORD000042,2024-10-28 18:53:00,1,4800,4800,Direct,Mobile,P0191,アイシャドウパレット,コスメ・ビューティ,メイク,C000464,藤田,女,43.0,埼玉県,2024-09-04,2025-08-18,Referral,9.0,110710.0,1.0,Inactive
OL0000068,ORD000043,2025-10-11 11:42:00,1,580,580,SNS Ad,Mobile,P0124,冷凍餃子,食品,冷凍,C001394,高橋,女,29.0,北海道,2025-06-22,,Referral,26.0,445863.0,5.0,VIP
OL0000069,ORD000044,2025-11-01 17:12:00,1,780,780,Direct,Mobile,P0127,冷凍フルーツミックス,食品,冷凍,C000130,田中,女,48.0,北海道,2025-08-30,,Paid Search,4.0,18213.0,1.0,Regular
OL0000070,ORD000045,2024-04-15 16:30:00,2,1800,3600,Paid Search,Mobile,P0186,洗顔フォーム,コスメ・ビューティ,スキンケア,,,,,,,,,,,,
OL0000071,ORD000046,2024-11-19 18:56:00,1,8800,8800,Email,Mobile,P0037,ショルダーバッグ,ファッション,バッグ,C001371,鈴木,女,47.0,東京都,2024-05-12,,Direct,16.0,142111.0,1.0,Loyal
OL0000072,ORD000047,2026-01-29 21:58:00,1,1600,1600,Organic Search,Mobile,P0142,恋愛小説,書籍,文芸,C000240,石井,男,33.0,福岡県,2025-01-04,,Email,26.0,231255.0,3.0,VIP
OL0000073,ORD000048,2024-06-29 13:22:00,1,1480,1480,Organic Search,Mobile,P0167,児童書,書籍,児童,C001927,小林,女,36.0,埼玉県,2024-06-08,,Email,40.0,377242.0,2.0,VIP
OL0000074,ORD000049,2026-03-14 21:26:00,1,2980,2980,Email,PC,P0258,ダンベル3kg,スポーツ,フィットネス,C001682,山田,女,37.0,東京都,2024-09-09,,SNS Ad,24.0,243006.0,2.0,VIP
OL0000075,ORD000050,2024-10-12 09:02:00,1,7800,7800,SNS Ad,Mobile,P0022,ワンピース,ファッション,ドレス,C001636,長谷川,女,38.0,北海道,2024-05-12,,Organic Search,12.0,70022.0,0.0,Frequent
OL0000076,ORD000050,2024-10-12 09:02:00,1,1480,1480,SNS Ad,Mobile,P0273,スポーツタオル,スポーツ,アクセサリー,C001636,長谷川,女,38.0,北海道,2024-05-12,,Organic Search,12.0,70022.0,0.0,Frequent
OL0000077,ORD000051,2025-01-05 20:23:00,1,6800,6800,Paid Search,Tablet,P0012,デニムパンツ,ファッション,ボトムス,C000047,青木,女,24.0,兵庫県,2024-12-27,,Organic Search,40.0,419593.0,4.0,VIP
OL0000078,ORD000052,2025-05-18 19:31:00,1,4800,4320,Direct,Mobile,P0188,ファンデーション,コスメ・ビューティ,メイク,C000617,小川,女,24.0,愛知県,2024-10-10,,Organic Search,11.0,174040.0,0.0,Loyal
OL0000079,ORD000052,2025-05-18 19:31:00,2,12800,25600,Direct,Mobile,P0008,カシミアニット,ファッション,トップス,C000617,小川,女,24.0,愛知県,2024-10-10,,Organic Search,11.0,174040.0,0.0,Loyal
OL0000080,ORD000053,2025-12-18 13:30:00,1,48000,38400,SNS Ad,Mobile,P0050,プロジェクター,家電,AV家電,C001207,吉田,男,51.0,神奈川県,2024-06-23,,Organic Search,41.0,517490.0,1.0,VIP
OL0000081,ORD000054,2024-10-11 22:14:00,1,1480,1258,Referral,Mobile,P0140,ハーブティー,食品,飲料,C000726,佐々木,男,44.0,千葉県,2024-09-06,,Email,8.0,47122.0,0.0,Frequent
OL0000082,ORD000055,2026-03-05 07:51:00,1,380,380,Email,Tablet,P0228,ペーパータオル,ホーム・日用品,紙製品,,,,,,,,,,,,
OL0000083,ORD000056,2026-01-02 17:04:00,1,380,380,Email,Mobile,P0095,シチュールー,食品,乾物,C001454,石井,男,64.0,東京都,2024-04-09,,Direct,57.0,711652.0,7.0,VIP
OL0000084,ORD000057,2024-09-27 20:26:00,1,19800,17820,Paid Search,Mobile,P0028,ダウンジャケット,ファッション,アウター,,,,,,,,,,,,
OL0000085,ORD000058,2025-06-09 14:52:00,1,1880,1880,SNS Ad,Mobile,P0135,焼酎720ml,食品,お酒,,,,,,,,,,,,
OL0000086,ORD000059,2025-07-18 16:11:00,2,680,1360,Email,Mobile,P0224,ジップロック,ホーム・日用品,キッチン用品,,,,,,,,,,,,
OL0000087,ORD000060,2025-09-01 16:37:00,2,2800,5600,Organic Search,Mobile,P0190,コンシーラー,コスメ・ビューティ,メイク,C001823,岡田,男,30.0,東京都,2025-06-20,,Paid Search,19.0,191676.0,3.0,VIP
OL0000088,ORD000061,2025-06-18 22:56:00,1,2480,2480,SNS Ad,PC,P0136,日本酒720ml,食品,お酒,C000265,井上,男,36.0,埼玉県,2024-06-15,,SNS Ad,42.0,429630.0,1.0,VIP
OL0000089,ORD000062,2025-11-28 11:31:00,1,22800,22800,Organic Search,Mobile,P0030,トレンチコート,ファッション,アウター,C000326,遠藤,女,42.0,福岡県,2024-10-16,,SNS Ad,11.0,106658.0,0.0,Loyal
OL0000090,ORD000062,2025-11-28 11:31:00,1,2200,1540,Organic Search,Mobile,P0166,学習参考書,書籍,学習,C000326,遠藤,女,42.0,福岡県,2024-10-16,,SNS Ad,11.0,106658.0,0.0,Loyal
OL0000091,ORD000063,2025-11-18 15:03:00,1,480,480,SNS Ad,Tablet,P0110,野菜ジュース1L,食品,飲料,C000593,石川,男,30.0,埼玉県,2025-07-20,,Organic Search,13.0,120784.0,2.0,Loyal
OL0000092,ORD000064,2024-10-16 12:01:00,1,22800,22800,Organic Search,PC,P0030,トレンチコート,ファッション,アウター,,,,,,,,,,,,
OL0000093,ORD000064,2024-10-16 12:01:00,1,1980,1980,Organic Search,PC,P0242,整理ボックス,ホーム・日用品,収納,,,,,,,,,,,,
OL0000094,ORD000064,2024-10-16 12:01:00,1,680,680,Organic Search,PC,P0217,柔軟剤,ホーム・日用品,洗濯,,,,,,,,,,,,
OL0000095,ORD000065,2026-03-08 18:30:00,1,8800,8800,Referral,Mobile,P0249,カーテン,ホーム・日用品,リビング,,,,,,,,,,,,
OL0000096,ORD000065,2026-03-08 18:30:00,1,108000,108000,Referral,Mobile,P0076,ノートPC,家電,PC・スマホ,,,,,,,,,,,,
OL0000097,ORD000065,2026-03-08 18:30:00,1,8800,8800,Referral,Mobile,P0072,ヘアアイロン,家電,美容家電,,,,,,,,,,,,
OL0000098,ORD000066,2024-06-09 22:41:00,2,1280,2560,SNS Ad,PC,P0130,クッキーアソート,食品,スイーツ,C001995,岡田,女,33.0,東京都,2024-04-17,,Referral,12.0,192314.0,1.0,VIP
OL0000099,ORD000066,2024-06-09 22:41:00,3,280,840,SNS Ad,PC,P0225,アルミホイル,ホーム・日用品,キッチン用品,C001995,岡田,女,33.0,東京都,2024-04-17,,Referral,12.0,192314.0,1.0,VIP
OL0000100,ORD000066,2024-06-09 22:41:00,1,5800,5800,SNS Ad,PC,P0005,リネンシャツ,ファッション,トップス,C001995,岡田,女,33.0,東京都,2024-04-17,,Referral,12.0,192314.0,1.0,VIP
OL0000101,ORD000067,2025-12-12 20:56:00,1,480,480,Direct,Tablet,P0123,ひじき,食品,海藻,C000818,山田,女,41.0,東京都,2025-08-11,,Paid Search,23.0,163981.0,1.0,VIP
OL0000102,ORD000067,2025-12-12 20:56:00,1,480,480,Direct,Tablet,P0254,掃除機シート,ホーム・日用品,清掃,C000818,山田,女,41.0,東京都,2025-08-11,,Paid Search,23.0,163981.0,1.0,VIP
OL0000103,ORD000067,2025-12-12 20:56:00,1,2800,2800,Direct,Tablet,P0215,ビタミンサプリ,コスメ・ビューティ,健康,C000818,山田,女,41.0,東京都,2025-08-11,,Paid Search,23.0,163981.0,1.0,VIP
OL0000104,ORD000068,2024-08-23 20:12:00,1,22800,22800,Organic Search,Mobile,P0030,トレンチコート,ファッション,アウター,,,,,,,,,,,,
OL0000105,ORD000069,2025-06-24 16:35:00,1,980,980,Direct,PC,P0090,ごま油,食品,調味料,,,,,,,,,,,,
OL0000106,ORD000069,2025-06-24 16:35:00,1,4200,4200,Direct,PC,P0189,パウダーファンデ,コスメ・ビューティ,メイク,,,,,,,,,,,,
OL0000107,ORD000070,2025-05-21 19:47:00,1,5200,4680,Referral,PC,P0044,ストール,ファッション,小物,C001327,鈴木,女,36.0,東京都,2025-05-16,,Email,5.0,41920.0,1.0,Frequent
OL0000108,ORD000070,2025-05-21 19:47:00,1,5800,5800,Referral,PC,P0268,ジャージ,スポーツ,ウェア,C001327,鈴木,女,36.0,東京都,2025-05-16,,Email,5.0,41920.0,1.0,Frequent
OL0000109,ORD000071,2025-01-21 19:25:00,1,2200,1870,Paid Search,Mobile,P0173,哲学書,書籍,文芸,C000821,山本,女,38.0,宮城県,2024-06-04,2025-09-25,Paid Search,7.0,61738.0,0.0,Inactive
OL0000110,ORD000072,2026-02-17 21:54:00,1,18800,18800,Organic Search,Mobile,P0056,炊飯器3合,家電,キッチン,C001384,村上,女,43.0,兵庫県,2025-12-19,,Paid Search,13.0,204379.0,5.0,VIP
OL0000111,ORD000072,2026-02-17 21:54:00,1,5980,5083,Organic Search,Mobile,P0169,漫画セット10巻,書籍,漫画,C001384,村上,女,43.0,兵庫県,2025-12-19,,Paid Search,13.0,204379.0,5.0,VIP
OL0000112,ORD000072,2026-02-17 21:54:00,1,38800,38800,Organic Search,Mobile,P0064,コードレス掃除機,家電,生活家電,C001384,村上,女,43.0,兵庫県,2025-12-19,,Paid Search,13.0,204379.0,5.0,VIP
OL0000113,ORD000072,2026-02-17 21:54:00,1,380,380,Organic Search,Mobile,P0097,うどん乾麺,食品,乾物,C001384,村上,女,43.0,兵庫県,2025-12-19,,Paid Search,13.0,204379.0,5.0,VIP
OL0000114,ORD000073,2026-01-22 14:06:00,1,16800,16800,SNS Ad,Mobile,P0073,電動シェーバー,家電,美容家電,C001314,山崎,男,39.0,東京都,2025-12-14,,SNS Ad,6.0,70928.0,5.0,Frequent
OL0000115,ORD000073,2026-01-22 14:06:00,1,7800,7800,SNS Ad,Mobile,P0015,スラックス,ファッション,ボトムス,C001314,山崎,男,39.0,東京都,2025-12-14,,SNS Ad,6.0,70928.0,5.0,Frequent
OL0000116,ORD000074,2026-03-25 12:55:00,1,18800,16920,Referral,Mobile,P0031,モッズコート,ファッション,アウター,C001224,村上,男,61.0,兵庫県,2024-06-13,,Direct,45.0,477960.0,2.0,VIP
OL0000117,ORD000074,2026-03-25 12:55:00,1,980,980,Referral,Mobile,P0104,ドリップコーヒー20個,食品,飲料,C001224,村上,男,61.0,兵庫県,2024-06-13,,Direct,45.0,477960.0,2.0,VIP
OL0000118,ORD000075,2025-06-18 19:40:00,2,880,1760,Organic Search,Mobile,P0216,洗濯洗剤大,ホーム・日用品,洗濯,,,,,,,,,,,,
OL0000119,ORD000075,2025-06-18 19:40:00,1,2800,2800,Organic Search,Mobile,P0150,経営戦略本,書籍,ビジネス,,,,,,,,,,,,
OL0000120,ORD000076,2026-03-18 20:55:00,1,580,580,Paid Search,Mobile,P0229,ゴミ袋45L 30枚,ホーム・日用品,紙製品,,,,,,,,,,,,
OL0000121,ORD000076,2026-03-18 20:55:00,1,1800,1800,Paid Search,Mobile,P0143,推理小説,書籍,文芸,,,,,,,,,,,,
OL0000122,ORD000077,2025-10-05 11:50:00,1,2800,2380,SNS Ad,PC,P0176,化粧水,コスメ・ビューティ,スキンケア,C001001,池田,女,47.0,兵庫県,2025-07-03,,SNS Ad,10.0,116710.0,2.0,Loyal
OL0000123,ORD000078,2024-12-02 09:24:00,1,1800,1800,Direct,Mobile,P0161,ヨガ入門,書籍,実用,C000561,坂本,女,29.0,千葉県,2024-05-19,,Paid Search,43.0,437835.0,5.0,VIP
OL0000124,ORD000079,2025-05-01 11:42:00,1,4280,4280,Direct,Mobile,P0119,お米10kg,食品,主食,C001386,山田,男,36.0,東京都,2025-04-24,,Paid Search,16.0,195852.0,4.0,VIP
OL0000125,ORD000079,2025-05-01 11:42:00,1,6800,6800,Direct,Mobile,P0024,シャツワンピース,ファッション,ドレス,C001386,山田,男,36.0,東京都,2025-04-24,,Paid Search,16.0,195852.0,4.0,VIP
OL0000126,ORD000079,2025-05-01 11:42:00,1,2980,2980,Direct,Mobile,P0258,ダンベル3kg,スポーツ,フィットネス,C001386,山田,男,36.0,東京都,2025-04-24,,Paid Search,16.0,195852.0,4.0,VIP
OL0000127,ORD000080,2025-12-22 11:38:00,1,8800,8800,Organic Search,Mobile,P0069,扇風機,家電,生活家電,C001736,橋本,男,39.0,東京都,2025-09-01,2026-02-01,Paid Search,7.0,38546.0,0.0,Inactive
OL0000128,ORD000080,2025-12-22 11:38:00,1,1580,1580,Organic Search,Mobile,P0091,バルサミコ酢,食品,調味料,C001736,橋本,男,39.0,東京都,2025-09-01,2026-02-01,Paid Search,7.0,38546.0,0.0,Inactive
OL0000129,ORD000081,2025-12-27 21:27:00,1,2800,2380,Organic Search,Mobile,P0199,シャンプー,コスメ・ビューティ,ヘアケア,C001484,松本,男,25.0,広島県,2025-05-30,,Paid Search,29.0,252460.0,4.0,VIP
